Two-way	+0 ms
time	depth
(ms)	(ft)
0	0
10	30.8
20	61.7
30	92.5
40	123.3
50	154.1
60	184.9
70	215.8
80	246.6
90	277.4
100	308.3
110	339.1
120	369.9
130	400.7
140	431.6
150	462.4
160	493.2
170	524
180	554.8
190	585.7
200	616.5
210	647.3
220	678.2
230	709
240	739.8
250	770.6
260	801.4
270	832.3
280	863.1
290	893.9
300	924.8
310	955.6
320	986.4
330	1017.2
340	1048
350	1078.9
360	1109.7
370	1140.5
380	1171.4
390	1202.2
400	1233
410	1263.8
420	1294.6
430	1325.5
440	1356.3
450	1388.2
460	1424.2
470	1460.2
480	1496.1
490	1532.1
500	1568.1
510	1604.1
520	1640.1
530	1676.1
540	1712.1
550	1748.1
560	1784.1
570	1820.1
580	1856.1
590	1892.2
600	1928.4
610	1964.6
620	2000.7
630	2036.9
640	2073.1
650	2109.3
660	2145.5
670	2181.6
680	2217.8
690	2254
700	2290.2
710	2326.4
720	2362.5
730	2400.2
740	2439.3
750	2478.4
760	2517.5
770	2556.6
780	2595.8
790	2634.9
800	2674
810	2713.1
820	2752.2
830	2791.4
840	2830.5
850	2869.6
860	2911.3
870	2954.2
880	2997
890	3039.8
900	3082.6
910	3125.4
920	3168.2
930	3211
940	3253.8
950	3296.7
960	3339.5
970	3382.3
980	3424.7
990	3467.1
1000	3509.5
1010	3552
1020	3594.4
1030	3636.8
1040	3679.2
1050	3732.5
1060	3770.8
1070	3818.8
1080	3863.8
1090	3907.1
1100	3951.6
1110	4000.2
1120	4048.8
1130	4090.7
1140	4143.1
1150	4192.2
1160	4236.9
1170	4281.9
1180	4326.5
1190	4375.4
1200	4408.2
1210	4457.7
1220	4501.9
1230	4546.1
1240	4590.1
1250	4635.3
1260	4686.8
1270	4733.6
1280	4781
1290	4829
1300	4876.9
1310	4924.3
1320	4975
1330	5021.9
1340	5071.6
1350	5121.2
1360	5170.4
1370	5220.4
1380	5270.4
1390	5317.4
1400	5367.8
1410	5418.1
1420	5466.5
1430	5515.7
1440	5566.4
1450	5616.8
1460	5668.5
1470	5721.2
1480	5774.9
1490	5826.6
1500	5879.4
1510	5931.7
1520	5984.1
1530	6034
1540	6082.5
1550	6135
1560	6189.4
1570	6243.6
1580	6291.9
1590	6343.2
1600	6392.4
1610	6441.7
1620	6490.3
1630	6540.2
1640	6588.2
1650	6640.3
1660	6690.8
1670	6743.2
1680	6791.7
1690	6844.1
1700	6894.7
1710	6943
1720	6990.6
1730	7041.1
1740	7097.7
1750	7151
1760	7203.9
